t,v1,h1,a1,v2,h2,a2
0.5,0.0,-0.0,,,,
1.0,0.0,-0.0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
3.5,5.0,-0.0,,,,
4.0,6.0,-0.0,,,,
,,,,,,
5.0,12.0,-0.0,,,,
5.5,18.0,-0.0,,,,
6.0,23.0,-0.0,,,,
6.5,28.0,0.0,,,,
,,,,,,
7.5,42.0,0.0,,,,
8.0,47.0,0.0,,,,
8.5,54.0,0.0,,,,
9.0,61.0,0.0,,,,
9.5,67.0,0.0,,,,
10.0,74.0,0.0,,,,
10.5,81.0,0.0,0.253,,,
11.0,89.0,0.0,0.283,,,
,,,,,,
,,,,,,
,,,,,,
13.0,117.0,0.1,0.31,,,
13.5,125.0,0.1,0.336,,,
14.0,132.0,0.1,0.359,,,
14.5,139.0,0.1,0.374,,,
,,,,,,
,,,,,,
16.0,162.0,0.2,0.38,,,
16.5,170.0,0.2,0.391,,,
,,,,,,
17.5,186.0,0.3,0.403,,,
18.0,194.0,0.3,0.406,,,
18.5,201.0,0.3,0.414,,,
,,,,,,
19.5,218.0,0.4,0.42,,,
20.0,225.0,0.4,0.42,,,
,,,,,,
21.0,242.0,0.5,0.429,,,
21.5,250.0,0.5,0.433,,,
,,,,,,
22.5,268.0,0.6,0.44,,,
23.0,275.0,0.6,0.437,,,
,,,,,,
24.0,293.0,0.7,0.444,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
27.0,346.0,1.0,0.447,,,
,,,,,,
28.0,364.0,1.1,0.455,,,
,,,,,,
29.0,383.0,1.2,0.464,,,
29.5,392.0,1.3,0.469,,,
30.0,401.0,1.3,0.473,,,
30.5,411.0,1.3,0.481,,,
31.0,419.0,1.4,0.481,,,
31.5,430.0,1.5,0.496,,,
32.0,440.0,1.5,0.502,,,
32.5,450.0,1.6,0.513,,,
33.0,459.0,1.7,0.515,,,
33.5,469.0,1.7,0.522,,,
34.0,479.0,1.8,0.526,,,
,,,,,,
35.0,500.0,1.9,0.539,,,
35.5,510.0,2.0,0.543,,,
36.0,520.0,2.1,0.547,,,
36.5,531.0,2.1,0.555,,,
37.0,541.0,2.2,0.557,,,
37.5,552.0,2.3,0.564,,,
38.0,563.0,2.4,0.572,,,
38.5,573.0,2.4,0.572,,,
39.0,584.0,2.5,0.583,,,
,,,,,,
40.0,606.0,2.7,0.583,,,
40.5,617.0,2.8,0.587,,,
,,,,,,
41.5,641.0,3.0,0.595,,,
42.0,651.0,3.0,0.598,,,
42.5,663.0,3.1,0.606,,,
43.0,674.0,3.2,0.61,,,
43.5,687.0,3.3,0.619,,,
44.0,698.0,3.4,0.623,,,
,,,,,,
45.0,722.0,3.6,0.63,,,
45.5,734.0,3.7,0.634,,,
46.0,747.0,3.8,0.646,,,
46.5,759.0,3.9,0.649,,,
,,,,,,
,,,,,,
48.0,797.0,4.2,0.656,,,
,,,,,,
,,,,,,
,,,,,,
50.0,850.0,4.7,0.668,,,
,,,,,,
,,,,,,
51.5,887.0,5.0,0.673,,,
,,,,,,
52.5,916.0,5.3,0.686,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
55.5,993.0,6.0,0.693,,,
56.0,1004.0,6.2,0.689,,,
56.5,1015.0,6.3,0.693,,,
57.0,1026.0,6.4,0.689,,,
57.5,1036.0,6.6,0.686,,,
58.0,1046.0,6.7,0.674,,,
,,,,,,
59.0,1064.0,7.0,0.667,,,
59.5,1072.0,7.1,0.652,,,
60.0,1081.0,7.3,0.64,,,
60.5,1089.0,7.4,0.621,,,
61.0,1098.0,7.5,0.61,,,
61.5,1107.0,7.7,0.596,,,
62.0,1117.0,7.8,0.584,,,
62.5,1129.0,8.0,0.583,,,
63.0,1140.0,8.1,0.569,,,
63.5,1154.0,8.3,0.574,,,
64.0,1169.0,8.4,0.589,,,
64.5,1185.0,8.6,0.608,,,
65.0,1199.0,8.7,0.619,,,
,,,,,,
66.0,1230.0,9.0,0.64,,,
66.5,1248.0,9.2,0.67,,,
67.0,1264.0,9.3,0.697,,,
67.5,1282.0,9.5,0.734,,,
68.0,1298.0,9.6,0.761,,,
68.5,1315.0,9.8,0.795,,,
69.0,1331.0,9.9,0.821,,,
69.5,1348.0,10.1,0.851,,,
70.0,1365.0,10.2,0.878,,,
70.5,1382.0,10.4,0.897,,,
71.0,1401.0,10.6,0.927,,,
71.5,1417.0,10.8,0.934,,,
,,,,,,
72.5,1452.0,11.1,0.944,,,
73.0,1471.0,11.3,0.955,,,
73.5,1490.0,11.4,0.974,,,
74.0,1508.0,11.6,0.984,,,
74.5,1527.0,11.8,0.987,,,
75.0,1545.0,12.0,0.995,,,
75.5,1563.0,12.1,0.995,,,
,,,,,,
76.5,1601.0,12.5,1.006,,,
77.0,1620.0,12.7,1.014,,,
,,,,,,
78.0,1659.0,13.1,1.027,,,
78.5,1678.0,13.3,1.034,,,
79.0,1699.0,13.5,1.05,,,
79.5,1719.0,13.7,1.061,,,
80.0,1739.0,13.9,1.065,,,
80.5,1759.0,14.0,1.08,,,
81.0,1780.0,14.2,1.093,,,
81.5,1800.0,14.4,1.097,,,
82.0,1822.0,14.6,1.108,,,
82.5,1843.0,14.8,1.119,,,
83.0,1866.0,15.1,1.135,,,
83.5,1889.0,15.3,1.153,,,
84.0,1911.0,15.5,1.168,,,
84.5,1931.0,15.7,1.172,,,
85.0,1956.0,15.9,1.195,,,
85.5,1978.0,16.1,1.204,,,
,,,,,,
86.5,2024.0,16.6,1.219,,,
87.0,2047.0,16.8,1.227,,,
87.5,2071.0,17.0,1.242,,,
88.0,2094.0,17.2,1.253,,,
88.5,2118.0,17.4,1.269,,,
89.0,2143.0,17.6,1.284,,,
89.5,2167.0,17.8,1.299,,,
90.0,2193.0,18.1,1.314,,,
90.5,2216.0,18.3,1.321,,,
91.0,2243.0,18.5,1.337,,,
91.5,2268.0,18.8,1.344,,,
92.0,2292.0,19.0,1.352,,,
92.5,2318.0,19.2,1.374,,,
93.0,2344.0,19.4,1.378,,,
93.5,2370.0,19.7,1.393,,,
94.0,2395.0,19.9,1.401,,,
94.5,2422.0,20.1,1.416,,,
95.0,2450.0,20.4,1.431,,,
95.5,2477.0,20.6,1.446,,,
96.0,2504.0,20.8,1.457,,,
96.5,2530.0,21.1,1.461,,,
97.0,2558.0,21.3,1.476,,,
97.5,2588.0,21.5,1.491,,,
98.0,2615.0,21.8,1.506,,,
98.5,2643.0,22.0,1.51,,,
99.0,2672.0,22.3,1.525,,,
99.5,2701.0,22.5,1.544,,,
100.0,2732.0,22.7,1.563,,,
100.5,2761.0,23.0,1.574,,,
101.0,2791.0,23.2,1.589,,,
101.5,2821.0,23.5,1.608,,,
102.0,2851.0,23.8,1.62,,,
102.5,2881.0,24.0,1.627,,,
103.0,2911.0,24.3,1.639,,,
103.5,2942.0,24.5,1.654,,,
104.0,2974.0,24.8,1.676,,,
104.5,3005.0,25.1,1.688,,,
105.0,3036.0,25.3,1.691,,,
105.5,3066.0,25.6,1.703,,,
106.0,3097.0,25.8,1.714,,,
106.5,3129.0,26.1,1.725,,,
107.0,3161.0,26.4,1.737,,,
107.5,3196.0,26.8,1.752,,,
108.0,3226.0,26.9,1.756,,,
,,,,,,
109.0,3294.0,27.6,1.771,,,
109.5,3327.0,27.9,1.782,,,
110.0,3361.0,28.2,1.797,,,
110.5,3394.0,28.4,1.808,,,
,,,,,,
111.5,3459.0,28.9,1.818,,,
112.0,3496.0,29.3,1.841,,,
112.5,3530.0,29.5,1.848,,,
113.0,3565.0,29.8,1.863,,,
113.5,3600.0,30.1,1.878,,,
114.0,3635.0,30.4,1.897,,,
114.5,3671.0,30.7,1.916,,,
115.0,3706.0,31.0,1.927,,,
115.5,3744.0,31.3,1.95,,,
116.0,3778.0,31.6,1.946,,,
116.5,3816.0,31.9,1.976,,,
117.0,3852.0,32.2,1.984,,,
117.5,3889.0,32.5,1.999,,,
118.0,3926.0,32.8,2.01,,,
118.5,3964.0,33.1,2.029,,,
119.0,4001.0,33.4,2.046,,,
119.5,4038.0,33.7,2.046,,,
120.0,4076.0,34.0,2.061,,,
120.5,4118.0,34.4,2.088,,,
121.0,4153.0,34.7,2.088,,,
121.5,4195.0,35.1,2.114,,,
122.0,4230.0,35.3,2.11,,,
122.5,4272.0,35.6,2.137,,,
123.0,4312.0,36.0,2.144,,,
123.5,4352.0,36.3,2.167,,,
124.0,4392.0,36.6,2.175,,,
124.5,4433.0,37.0,2.194,,,
125.0,4473.0,37.3,2.205,,,
125.5,4514.0,37.6,2.22,,,
126.0,4555.0,38.0,2.231,,,
126.5,4596.0,38.3,2.246,,,
127.0,4638.0,38.7,2.265,,,
127.5,4679.0,39.0,2.277,,,
128.0,4720.0,39.4,2.273,,,
128.5,4762.0,39.7,2.299,,,
129.0,4803.0,40.1,2.295,,,
129.5,4840.0,40.3,2.303,,,
130.0,4888.0,40.7,2.326,,,
,,,,,,
131.0,4975.0,41.4,2.339,,,
131.5,5014.0,41.8,2.335,,,
132.0,5063.0,42.2,2.369,,,
132.5,5099.0,42.5,2.35,,,
133.0,5151.0,42.9,2.396,,,
133.5,5195.0,43.3,2.407,,,
134.0,5240.0,43.7,2.422,,,
134.5,5285.0,44.0,2.437,,,
135.0,5332.0,44.4,2.456,,,
135.5,5379.0,44.8,2.479,,,
136.0,5424.0,45.2,2.494,,,
136.5,5468.0,45.6,2.501,,,
137.0,5519.0,46.0,2.539,,,
137.5,5563.0,46.4,2.565,,,
138.0,5614.0,46.8,2.577,,,
138.5,5657.0,47.2,2.575,,,
139.0,5708.0,47.6,2.62,,,
139.5,5754.0,48.0,2.609,,,
140.0,5803.0,48.4,2.658,,,
140.5,5849.0,48.8,2.635,,,
141.0,5900.0,49.3,2.662,,,
141.5,5948.0,49.7,2.673,,,
142.0,5998.0,50.1,2.692,,,
142.5,6049.0,50.5,2.707,,,
143.0,6100.0,51.0,2.722,,,
143.5,6149.0,51.4,2.737,,,
144.0,6204.0,51.9,2.779,,,
144.5,6256.0,52.3,2.782,,,
145.0,6308.0,52.7,2.813,,,
145.5,6358.0,53.2,2.809,,,
146.0,6414.0,53.7,2.858,,,
146.5,6463.0,54.1,2.85,,,
147.0,6519.0,54.5,2.888,,,
147.5,6572.0,55.0,2.903,,,
148.0,6631.0,55.5,2.952,,,
148.5,6683.0,55.9,2.956,,,
149.0,6744.0,56.4,3.005,,,
149.5,6800.0,56.9,3.028,,,
150.0,6861.0,57.4,3.066,,,
150.5,6920.0,57.9,3.096,,,
151.0,6977.0,58.3,3.126,,,
151.5,7037.0,58.8,3.145,,,
152.0,7094.0,59.3,3.164,,,
152.5,7139.0,59.7,3.137,,,
153.0,7196.0,60.1,3.164,,,
153.5,7251.0,60.6,3.16,,,
154.0,7320.0,61.1,3.236,,,
154.5,7383.0,61.6,3.262,,,
155.0,7447.0,62.2,3.304,,,
155.5,7504.0,62.6,3.296,,,
156.0,7558.0,63.1,3.304,,,
156.5,7616.0,63.6,3.292,,,
157.0,7670.0,64.1,3.285,,,
157.5,7715.0,64.5,3.224,,,
158.0,7778.0,65.1,3.239,,,
158.5,7824.0,65.5,3.198,,,
159.0,7874.0,66.1,3.16,,,
159.5,7896.0,66.5,3.028,,,
160.0,7897.0,67.1,2.862,,,
160.5,7891.0,67.6,2.624,,,
161.0,7884.0,68.0,2.39,,,
161.5,7876.0,68.5,2.099,,,
162.0,7869.0,69.0,1.835,,,
162.5,7853.0,69.6,1.533,,,
163.0,7843.0,70.0,1.28,,,
163.5,7833.0,70.5,1.038,,,
164.0,7825.0,71.0,0.789,,,
164.5,7818.0,71.5,0.559,,,
165.0,7810.0,72.0,0.359,,,
,,,,,,
166.0,7795.0,72.9,0.092,,,
166.5,7788.0,73.4,-0.108,,,
167.0,7781.0,73.9,-0.323,,,
167.5,7773.0,74.4,-0.436,,,
168.0,7765.0,74.9,-0.47,,,
168.5,7758.0,75.3,-0.474,,,
169.0,7751.0,75.8,-0.474,,,
169.5,7744.0,76.2,-0.47,,,
170.0,7736.0,76.7,-0.474,,,
,,,,,,
,,,,,,
171.5,7714.0,78.0,-0.441,,,
172.0,7705.0,78.5,-0.437,,,
172.5,7698.0,78.9,-0.426,,,
173.0,7691.0,79.4,-0.422,,,
173.5,7684.0,79.8,-0.422,,,
174.0,7677.0,80.3,-0.418,,,
174.5,7671.0,80.7,-0.413,,,
175.0,7663.0,81.1,-0.417,7814.0,81.3,
175.5,7656.0,81.6,-0.417,7820.0,81.7,
176.0,7649.0,82.0,-0.413,7827.0,82.1,
176.5,7643.0,82.4,-0.405,7833.0,82.5,
177.0,7635.0,82.9,-0.409,7840.0,83.0,
177.5,7630.0,83.2,-0.401,7846.0,83.4,
178.0,7623.0,83.6,-0.401,7853.0,83.8,
178.5,7616.0,84.1,-0.398,7859.0,84.2,
179.0,7609.0,84.5,-0.396,7867.0,84.7,
179.5,7603.0,84.9,-0.385,7873.0,85.1,
180.0,7596.0,85.3,-0.385,7880.0,85.6,
180.5,7590.0,85.7,-0.381,7887.0,86.0,
181.0,7583.0,86.2,-0.381,7895.0,86.4,
181.5,7576.0,86.5,-0.381,7902.0,86.8,
182.0,7570.0,87.0,-0.381,7909.0,87.3,0.359
182.5,7564.0,87.3,-0.374,7916.0,87.7,0.385
183.0,7557.0,87.8,-0.374,7924.0,88.1,0.393
183.5,7551.0,88.1,-0.37,7931.0,88.5,0.393
184.0,7544.0,88.5,-0.374,7938.0,88.9,0.396
184.5,7538.0,88.9,-0.366,7945.0,89.3,0.396
185.0,7532.0,89.3,-0.37,7953.0,89.8,0.404
185.5,7525.0,89.7,-0.37,7960.0,90.2,0.404
186.0,7519.0,90.1,-0.366,7968.0,90.6,0.412
186.5,7513.0,90.5,-0.362,7975.0,91.0,0.408
187.0,7506.0,90.9,-0.366,7983.0,91.4,0.415
187.5,7500.0,91.2,-0.362,7991.0,91.8,0.419
188.0,7494.0,91.6,-0.362,7999.0,92.3,0.423
188.5,7488.0,91.9,-0.359,,,
189.0,7482.0,92.4,-0.355,8013.0,93.1,0.419
189.5,7476.0,92.7,-0.355,8021.0,93.4,0.423
190.0,7470.0,93.1,-0.355,,,
190.5,7464.0,93.4,-0.351,8036.0,94.2,0.425
191.0,7457.0,93.8,-0.355,8045.0,94.7,0.432
191.5,7452.0,94.2,-0.347,,,
192.0,7446.0,94.6,-0.347,8061.0,95.5,0.432
192.5,7439.0,95.0,-0.351,8070.0,95.9,0.44
193.0,7434.0,95.3,-0.344,8078.0,96.3,0.444
193.5,7427.0,95.7,-0.347,,,
194.0,7422.0,96.0,-0.344,,,
194.5,7416.0,96.4,-0.34,8103.0,97.5,0.449
195.0,7410.0,96.7,-0.34,8112.0,97.8,0.452
195.5,7404.0,97.0,-0.34,8121.0,98.2,0.46
196.0,7399.0,97.4,-0.336,8129.0,98.6,0.46
196.5,7393.0,97.7,-0.336,8138.0,99.0,0.468
197.0,7387.0,98.1,-0.336,8147.0,99.4,0.471
197.5,7382.0,98.4,-0.332,8157.0,99.8,0.479
198.0,7376.0,98.7,-0.332,8165.0,100.0,0.479
198.5,7371.0,99.1,-0.325,8174.0,100.0,0.486
199.0,7365.0,99.4,-0.328,8183.0,100.0,0.49
199.5,7360.0,99.7,-0.325,,,
200.0,7354.0,100.0,-0.321,8201.0,101.0,0.496
200.5,7349.0,100.0,-0.321,8210.0,102.0,0.496
201.0,7343.0,100.0,-0.317,8220.0,102.0,0.503
201.5,7338.0,101.0,-0.317,8229.0,102.0,0.503
202.0,7334.0,101.0,-0.31,8238.0,103.0,0.507
202.5,7328.0,101.0,-0.31,8248.0,103.0,0.513
203.0,7323.0,101.0,-0.306,,,
203.5,7317.0,102.0,-0.31,8266.0,104.0,0.513
204.0,7313.0,102.0,-0.302,8275.0,104.0,0.513
204.5,7307.0,102.0,-0.302,8285.0,105.0,0.521
205.0,7302.0,103.0,-0.302,8294.0,105.0,0.521
205.5,7296.0,103.0,-0.302,8304.0,105.0,0.525
206.0,7292.0,103.0,-0.298,8313.0,106.0,0.521
206.5,7287.0,104.0,-0.294,8324.0,106.0,0.532
207.0,7283.0,104.0,-0.291,8333.0,106.0,0.532
207.5,7277.0,104.0,-0.291,8343.0,107.0,0.536
208.0,7273.0,105.0,-0.287,8352.0,107.0,0.536
208.5,7267.0,105.0,-0.287,8363.0,107.0,0.544
209.0,7263.0,105.0,-0.283,8371.0,108.0,0.536
209.5,7257.0,106.0,-0.291,,,
210.0,7253.0,106.0,-0.283,8392.0,109.0,0.542
210.5,7248.0,106.0,-0.283,8402.0,109.0,0.546
211.0,7244.0,106.0,-0.276,8412.0,109.0,0.546
211.5,7239.0,107.0,-0.279,8422.0,110.0,0.549
212.0,7234.0,107.0,-0.276,8432.0,110.0,0.553
212.5,7230.0,107.0,-0.272,8442.0,110.0,0.553
213.0,7225.0,107.0,-0.268,,,
213.5,7221.0,108.0,-0.268,,,
214.0,7216.0,108.0,-0.268,,,
214.5,7212.0,108.0,-0.268,,,
215.0,7207.0,108.0,-0.264,8493.0,112.0,0.558
215.5,7203.0,109.0,-0.264,,,
216.0,7198.0,109.0,-0.261,8514.0,113.0,0.56
216.5,7194.0,109.0,-0.261,,,
217.0,7190.0,109.0,-0.253,8535.0,113.0,0.565
217.5,7186.0,110.0,-0.253,8545.0,114.0,0.561
218.0,7182.0,110.0,-0.249,,,
218.5,7177.0,110.0,-0.253,,,
,,,,8578.0,115.0,0.569
219.5,7168.0,111.0,-0.251,,,
220.0,7164.0,111.0,-0.247,,,
220.5,7160.0,111.0,-0.247,8610.0,116.0,0.571
221.0,7157.0,111.0,-0.24,8621.0,116.0,0.579
221.5,7153.0,112.0,-0.24,8630.0,116.0,0.571
222.0,7149.0,112.0,-0.236,8642.0,117.0,0.587
222.5,7145.0,112.0,-0.236,8653.0,117.0,0.588
223.0,7141.0,112.0,-0.232,8663.0,117.0,0.588
223.5,7137.0,113.0,-0.232,8674.0,118.0,0.592
,,,,,,
224.5,7130.0,113.0,-0.227,,,
225.0,7126.0,113.0,-0.227,8707.0,119.0,0.596
225.5,7123.0,113.0,-0.223,8717.0,119.0,0.596
226.0,7119.0,114.0,-0.223,8729.0,119.0,0.604
226.5,7116.0,114.0,-0.219,8739.0,120.0,0.603
227.0,7112.0,114.0,-0.215,8751.0,120.0,0.608
227.5,7109.0,114.0,-0.21,8762.0,120.0,0.61
228.0,7105.0,114.0,-0.21,8775.0,121.0,0.622
228.5,7102.0,115.0,-0.206,8785.0,121.0,0.618
229.0,7098.0,115.0,-0.21,8796.0,121.0,0.619
,,,,,,
,,,,8819.0,122.0,0.621
,,,,8830.0,122.0,0.629
231.0,7085.0,116.0,-0.207,,,
231.5,7082.0,116.0,-0.203,8853.0,123.0,0.627
232.0,7079.0,116.0,-0.199,8865.0,123.0,0.63
232.5,7075.0,116.0,-0.199,8876.0,123.0,0.634
233.0,7072.0,116.0,-0.195,,,
233.5,7069.0,116.0,-0.193,,,
234.0,7066.0,117.0,-0.19,8911.0,124.0,0.637
234.5,7063.0,117.0,-0.19,,,
235.0,7060.0,117.0,-0.186,8935.0,125.0,0.641
235.5,7057.0,117.0,-0.186,,,
236.0,7054.0,117.0,-0.182,,,
236.5,7051.0,118.0,-0.182,8970.0,126.0,0.647
237.0,7048.0,118.0,-0.178,,,
237.5,7046.0,118.0,-0.175,8994.0,126.0,0.647
238.0,7043.0,118.0,-0.171,9006.0,127.0,0.654
238.5,7040.0,118.0,-0.17,9019.0,127.0,0.658
,,,,9030.0,127.0,0.658
239.5,7035.0,118.0,-0.168,9043.0,127.0,0.658
240.0,7032.0,119.0,-0.168,9054.0,128.0,0.662
240.5,7029.0,119.0,-0.164,9067.0,128.0,0.67
241.0,7027.0,119.0,-0.16,,,
,,,,,,
242.0,7022.0,119.0,-0.159,9104.0,129.0,0.673
242.5,7019.0,119.0,-0.159,9116.0,129.0,0.676
243.0,7017.0,119.0,-0.155,,,
243.5,7015.0,120.0,-0.151,9141.0,130.0,0.68
244.0,7012.0,120.0,-0.151,9154.0,130.0,0.684
244.5,7010.0,120.0,-0.147,9166.0,130.0,0.688
245.0,7008.0,120.0,-0.143,9179.0,131.0,0.693
245.5,7005.0,120.0,-0.143,9191.0,131.0,0.693
,,,,9204.0,131.0,0.698
,,,,9216.0,131.0,0.698
247.0,6999.0,121.0,-0.143,9229.0,132.0,0.702
247.5,6997.0,121.0,-0.14,9242.0,132.0,0.702
248.0,6995.0,121.0,-0.136,9254.0,132.0,0.705
